"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2026","4,745.10","5,410.00","5,480.20","4,700.40","508.00K","-11.39%"
"01/29/2026","5,354.80","5,449.90","5,626.80","5,126.00","570.06K","0.64%"
"01/28/2026","5,321.00","5,198.00","5,433.50","5,175.00","10.33K","4.30%"
"01/27/2026","5,101.40","5,038.30","5,209.50","5,031.00","6.64K","-0.02%"
"01/26/2026","5,102.40","5,028.40","5,124.30","5,005.00","7.98K","1.70%"
"01/23/2026","5,017.00","4,977.80","5,028.30","4,937.70","83.40K","1.37%"
"01/22/2026","4,949.40","4,871.00","4,980.10","4,807.90","68.88K","1.57%"
"01/21/2026","4,873.10","4,804.90","4,925.10","4,793.30","77.33K","1.51%"
"01/20/2026","4,800.80","4,661.00","4,806.00","4,659.50","56.62K","2.78%"
"01/19/2026","4,671.15","4,680.71","4,688.50","4,660.29","145.60K","-0.20%"
"01/18/2026","4,680.64","4,635.80","4,697.71","4,624.80","","1.85%"
"01/16/2026","4,595.40","4,621.60","4,625.50","4,539.10","246.16K","-0.61%"
"01/15/2026","4,623.70","4,635.70","4,637.20","4,584.00","226.48K","-0.26%"
"01/14/2026","4,635.70","4,594.30","4,650.50","4,594.30","306.30K","0.80%"
"01/13/2026","4,599.10","4,610.00","4,644.00","4,576.70","267.45K","-0.34%"
"01/12/2026","4,614.70","4,529.10","4,640.50","4,520.80","307.99K","2.53%"
"01/09/2026","4,500.90","4,489.30","4,527.00","4,461.80","217.95K","0.90%"
"01/08/2026","4,460.70","4,467.10","4,489.30","4,415.00","208.96K","-0.04%"
"01/07/2026","4,462.50","4,505.40","4,512.40","4,432.90","202.78K","-0.75%"
"01/06/2026","4,496.10","4,459.80","4,508.30","4,437.90","176.58K","1.00%"
"01/05/2026","4,451.50","4,368.30","4,467.60","4,354.60","211.71K","2.82%"
"01/02/2026","4,329.60","4,340.00","4,414.80","4,319.70","154.81K","-0.73%"
"01/01/2026","4,361.55","4,332.10","4,364.45","4,332.10","149.56K","-0.56%"
"12/30/2025","4,386.30","4,350.30","4,420.50","4,338.80","161.78K","1.37%"
"12/29/2025","4,327.00","4,549.80","4,557.20","4,308.10","186.08K","-4.43%"
"12/25/2025","4,527.50","4,505.40","4,539.65","4,505.30","179.20K","0.48%"
"12/23/2025","4,505.70","4,481.80","4,530.80","4,457.70","150.13K","0.81%"
"12/22/2025","4,469.40","4,369.90","4,484.50","4,367.90","248.42K","2.40%"
"12/18/2025","4,364.50","4,371.50","4,409.50","4,338.00","165.21K","-0.21%"
"12/17/2025","4,373.90","4,333.50","4,383.60","4,330.70","234.46K","0.96%"
"12/16/2025","4,332.30","4,334.30","4,367.90","4,297.40","212.41K","-0.07%"
"12/15/2025","4,335.20","4,330.00","4,384.30","4,315.90","212.28K","0.51%"
"12/11/2025","4,313.00","4,258.30","4,317.30","4,231.20","292.18K","2.09%"
"12/10/2025","4,224.70","4,237.50","4,268.80","4,207.80","228.28K","-0.27%"
"12/09/2025","4,236.20","4,219.60","4,251.70","4,197.80","186.18K","0.44%"
"12/08/2025","4,217.70","4,228.10","4,247.90","4,204.00","177.37K","-0.60%"
"12/04/2025","4,243.00","4,234.50","4,251.10","4,203.30","193.60K","0.25%"
"12/03/2025","4,232.50","4,241.60","4,273.30","4,225.10","161.25K","0.28%"
"12/02/2025","4,220.80","4,265.30","4,269.20","4,194.00","176.44K","-1.26%"
"12/01/2025","4,274.80","4,258.50","4,299.60","4,241.10","215.92K","1.73%"
"11/26/2025","4,202.30","4,167.00","4,209.00","4,163.60","154.81K","1.02%"
"11/25/2025","4,159.80","4,153.60","4,176.40","4,125.60","187.97K","1.14%"
"11/24/2025","4,113.10","4,087.30","4,157.00","4,056.00","132.70K","0.42%"
"11/20/2025","4,095.70","4,118.90","4,145.00","4,069.80","257.81K","-0.55%"
"11/19/2025","4,118.20","4,104.20","4,169.60","4,090.80","272.36K","0.40%"
"11/18/2025","4,101.70","4,083.90","4,118.70","4,032.80","233.70K","-0.20%"
"11/17/2025","4,109.80","4,122.70","4,142.70","4,042.30","233.30K","-2.02%"
"11/13/2025","4,194.50","4,202.40","4,250.00","4,148.50","342.18K","-0.45%"
"11/12/2025","4,213.60","4,132.20","4,218.50","4,104.40","319.22K","2.36%"
"11/11/2025","4,116.30","4,124.00","4,155.00","4,102.80","296.80K","-0.14%"
"11/10/2025","4,122.00","4,007.20","4,124.00","4,004.20","252.25K","3.28%"
"11/06/2025","3,991.00","3,992.40","4,028.70","3,973.20","208.65K","-0.05%"
"11/05/2025","3,992.90","3,939.50","4,000.70","3,935.70","188.69K","0.82%"
"11/04/2025","3,960.50","4,013.70","4,018.00","3,937.10","175.16K","-1.33%"
"11/03/2025","4,014.00","4,001.00","4,043.10","3,971.30","250.26K","-0.05%"
"10/30/2025","4,015.90","3,942.80","4,041.50","3,925.10","237.17K","0.75%"
"10/29/2025","3,986.20","3,930.90","4,030.00","3,926.50","246.32K","0.44%"
"10/28/2025","3,968.70","3,985.10","4,015.00","3,890.70","288.27K","-0.92%"
"10/27/2025","4,005.50","4,066.30","4,101.60","3,973.00","338.43K","-3.38%"
"10/23/2025","4,145.60","4,114.80","4,171.50","4,079.60","297.60K","1.97%"
"10/22/2025","4,065.40","4,137.00","4,175.00","4,021.20","271.97K","-1.06%"
"10/21/2025","4,109.10","4,371.00","4,393.60","4,093.00","468.71K","-5.74%"
"10/20/2025","4,359.40","4,269.00","4,398.00","4,229.70","535.33K","1.27%"
"10/16/2025","4,304.60","4,225.10","4,346.70","4,214.50","569.85K","2.45%"
"10/15/2025","4,201.60","4,160.10","4,235.80","4,157.30","375.20K","0.92%"
"10/14/2025","4,163.40","4,130.90","4,190.90","4,105.00","309.91K","0.74%"
"10/13/2025","4,133.00","4,018.30","4,137.20","4,011.30","405.99K","4.04%"
"10/09/2025","3,972.60","4,061.80","4,077.90","3,957.90","357.54K","-2.41%"
"10/08/2025","4,070.50","4,007.10","4,081.00","4,005.60","461.02K","1.65%"
"10/07/2025","4,004.40","3,983.00","4,014.60","3,963.40","348.78K","0.71%"
"10/06/2025","3,976.30","3,913.50","3,994.50","3,909.20","297.51K","2.80%"
"10/02/2025","3,868.10","3,892.70","3,923.30","3,842.80","218.28K","-0.75%"
"10/01/2025","3,897.50","3,887.70","3,922.70","3,880.30","284.22K","0.63%"
"09/30/2025","3,873.20","3,863.10","3,899.20","3,820.60","290.47K","0.47%"
"09/29/2025","3,855.20","3,788.80","3,863.70","3,785.50","312.26K","2.63%"
"09/25/2025","3,756.50","3,758.00","3,775.90","3,739.00","214.08K","0.08%"
"09/24/2025","3,753.40","3,784.30","3,798.50","3,735.70","262.18K","-1.27%"
"09/23/2025","3,801.80","3,767.30","3,808.00","3,759.30","236.56K","1.07%"
"09/22/2025","3,761.60","3,707.50","3,769.00","3,705.00","291.56K","2.26%"
"09/18/2025","3,678.30","3,692.50","3,707.30","3,660.50","186.95K","-1.06%"
"09/17/2025","3,717.80","3,727.30","3,744.00","3,679.50","224.13K","-0.20%"
"09/16/2025","3,725.10","3,720.30","3,739.90","3,711.80","256.05K","0.16%"
"09/15/2025","3,719.00","3,680.20","3,724.90","3,662.80","192.30K","1.24%"
"09/11/2025","3,673.60","3,680.60","3,687.50","3,651.00","154.56K","-0.23%"
"09/10/2025","3,682.00","3,662.00","3,697.50","3,651.40","214.61K","-0.01%"
"09/09/2025","3,682.20","3,676.60","3,715.20","3,663.70","182.03K","0.13%"
"09/08/2025","3,677.40","3,635.00","3,685.70","3,621.70","262.66K","1.96%"
"09/04/2025","3,606.70","3,619.80","3,621.60","3,573.70","237.65K","-0.79%"
"09/03/2025","3,635.50","3,600.00","3,640.10","3,592.40","232.58K","1.21%"
"09/02/2025","3,592.20","3,517.90","3,602.40","3,506.00","220.79K","2.28%"
"08/31/2025","3,512.00","3,517.65","3,517.65","3,509.70","374.14K","1.09%"
"08/28/2025","3,474.30","3,452.60","3,478.70","3,442.50","188.55K","1.12%"
"08/27/2025","3,435.70","3,428.10","3,436.00","3,410.70","156.60K","0.46%"
"08/26/2025","3,420.10","3,398.10","3,427.00","3,398.10","153.81K","0.45%"
"08/25/2025","3,404.90","3,399.70","3,407.20","3,395.00","176.30K","0.69%"
"08/21/2025","3,381.60","3,392.20","3,394.40","3,367.40","186.04K","-0.20%"
"08/20/2025","3,388.50","3,359.00","3,394.30","3,353.40","123.50K","0.89%"
"08/19/2025","3,358.70","3,378.30","3,389.70","3,358.10","135.52K","-0.57%"
"08/18/2025","3,378.00","3,382.40","3,403.60","3,368.00","133.50K","-0.15%"
"08/14/2025","3,383.20","3,407.20","3,423.80","3,375.50","118.49K","-0.74%"
"08/13/2025","3,408.30","3,399.60","3,422.60","3,392.70","165.70K","0.27%"
"08/12/2025","3,399.00","3,393.60","3,410.80","3,379.10","135.85K","-0.17%"
"08/11/2025","3,404.70","3,458.10","3,466.30","3,393.00","193.82K","-1.42%"
"08/07/2025","3,453.70","3,431.80","3,483.80","3,430.00","321.35K","0.59%"
"08/06/2025","3,433.40","3,434.90","3,440.50","3,411.70","249.09K","-0.04%"
"08/05/2025","3,434.70","3,428.90","3,444.90","3,403.30","151.58K","0.24%"
"08/04/2025","3,426.40","3,416.60","3,439.50","3,397.90","154.16K","2.32%"
"07/31/2025","3,348.60","3,327.50","3,366.70","3,324.40","229.95K","-0.13%"
"07/30/2025","3,352.80","3,383.10","3,389.30","3,319.20","158.03K","-0.46%"
"07/29/2025","3,368.30","3,366.10","3,368.80","3,362.40","203.09K","0.43%"
"07/28/2025","3,354.00","3,373.60","3,381.80","3,346.70","113.14K","-2.25%"
"07/24/2025","3,431.10","3,455.90","3,458.10","3,411.30","196.38K","-0.69%"
"07/23/2025","3,455.10","3,502.80","3,509.00","3,448.70","215.27K","-1.33%"
"07/22/2025","3,501.80","3,468.70","3,505.80","3,451.70","263.03K","1.12%"
"07/21/2025","3,462.90","3,415.00","3,473.20","3,407.40","227.37K","3.52%"
"07/17/2025","3,345.30","3,354.70","3,358.20","3,314.30","115.41K","-0.41%"
"07/16/2025","3,359.10","3,330.50","3,385.80","3,326.10","161.74K","0.67%"
"07/15/2025","3,336.70","3,352.00","3,375.40","3,327.30","235.16K","-0.67%"
"07/14/2025","3,359.10","3,376.50","3,389.30","3,348.50","179.88K","1.00%"
"07/10/2025","3,325.70","3,322.20","3,339.40","3,319.20","216.88K","0.14%"
"07/09/2025","3,321.00","3,310.60","3,325.60","3,290.20","168.19K","0.12%"
"07/08/2025","3,316.90","3,348.90","3,355.60","3,295.40","167.97K","-0.77%"
"07/07/2025","3,342.80","3,344.50","3,352.90","3,304.40","218.03K","0.00%"
"07/03/2025","3,342.90","3,369.00","3,376.90","3,321.40","235.76K","-0.50%"
"07/02/2025","3,359.70","3,350.00","3,371.00","3,337.20","153.23K","0.30%"
"07/01/2025","3,349.80","3,315.70","3,370.50","3,313.70","132.19K","1.27%"
"06/30/2025","3,307.70","3,284.30","3,321.60","3,250.50","168.85K","-0.79%"
"06/26/2025","3,333.90","3,333.60","3,349.00","3,309.20","218.87K","0.15%"
"06/25/2025","3,329.00","3,322.90","3,335.60","3,312.00","155.58K","0.27%"
"06/24/2025","3,320.00","3,361.20","3,361.20","3,296.40","130.01K","-1.79%"
"06/23/2025","3,380.60","3,387.00","3,395.70","3,348.30","227.43K","-0.81%"
"06/18/2025","3,408.10","3,409.00","3,419.00","3,380.10","280.83K","0.04%"
"06/17/2025","3,406.90","3,404.20","3,422.70","3,384.40","178.28K","-0.30%"
"06/16/2025","3,417.30","3,473.00","3,476.30","3,400.90","209.08K","0.44%"
"06/12/2025","3,402.40","3,377.50","3,419.80","3,358.50","270.63K","1.76%"
"06/11/2025","3,343.70","3,344.30","3,382.30","3,335.40","230.17K","0.01%"
"06/10/2025","3,343.40","3,346.30","3,370.40","3,321.30","201.53K","-0.34%"
"06/09/2025","3,354.90","3,333.40","3,359.00","3,313.10","158.90K","-0.60%"
"06/05/2025","3,375.10","3,398.00","3,427.70","3,362.30","185.37K","-0.71%"
"06/04/2025","3,399.20","3,377.80","3,409.70","3,366.90","224.86K","0.65%"
"06/03/2025","3,377.10","3,406.50","3,417.80","3,357.20","167.22K","-0.59%"
"06/02/2025","3,397.20","3,323.00","3,408.10","3,319.40","168.22K","1.59%"
"05/29/2025","3,343.90","3,311.80","3,356.30","3,269.10","184.77K","1.08%"
"05/28/2025","3,308.30","3,317.30","3,337.50","3,287.90","227.94K","-0.16%"
"05/27/2025","3,313.70","3,369.60","3,369.60","3,297.90","127.76K","-1.68%"
"05/25/2025","3,370.27","3,384.00","3,384.12","3,367.94","297.31K","1.40%"
"05/22/2025","3,323.60","3,346.50","3,375.30","3,306.90","247.20K","-0.55%"
"05/21/2025","3,341.90","3,321.20","3,355.50","3,315.30","234.66K","0.88%"
"05/20/2025","3,312.60","3,260.70","3,326.40","3,235.30","229.50K","1.57%"
"05/19/2025","3,261.40","3,246.00","3,280.00","3,236.20","224.09K","1.08%"
"05/15/2025","3,226.60","3,180.80","3,244.30","3,123.30","245.49K","1.20%"
"05/14/2025","3,188.30","3,254.10","3,261.30","3,170.70","253.06K","-1.83%"
"05/13/2025","3,247.80","3,240.70","3,270.40","3,220.10","233.93K","0.61%"
"05/12/2025","3,228.00","3,281.00","3,295.50","3,211.20","214.42K","-2.36%"
"05/08/2025","3,306.00","3,373.10","3,422.00","3,293.30","232.46K","-2.53%"
"05/07/2025","3,391.90","3,448.10","3,448.20","3,367.00","327.13K","-0.90%"
"05/06/2025","3,422.80","3,345.70","3,444.50","3,332.10","304.24K","3.03%"
"05/05/2025","3,322.30","3,247.10","3,346.70","3,243.10","268.10K","3.11%"
"05/01/2025","3,222.20","3,299.00","3,300.60","3,209.40","210.99K","-2.92%"
"04/30/2025","3,319.10","3,324.50","3,337.60","3,275.60","214.69K","-0.43%"
"04/29/2025","3,333.60","3,354.90","3,359.30","3,309.20","207.72K","0.02%"
"04/28/2025","3,333.00","3,318.30","3,347.70","3,266.30","170.15K","-0.47%"
"04/24/2025","3,348.60","3,301.80","3,377.00","3,301.30","241.25K","1.65%"
"04/23/2025","3,294.10","3,367.70","3,396.00","3,270.80","239.60K","-3.66%"
"04/22/2025","3,419.40","3,435.10","3,509.90","3,379.10","377.41K","-0.17%"
